Index;Sender;Receiver;Unit;Converter;NameDE;NameEN;MqttTopic;DescriptionDE;DescriptionEN;Default;MinValue;MaxValue;ValuesDE;ValuesEN;ReadOnly
1712;180;6A0;;TimeRange;Warmwasserprogramm Montag Zeitspanne 3;DWH Program Monday Time Period 3;/program/dwh/mon/p3;;;---;;;;;
1720;180;6A0;;TimeRange;Warmwasserprogramm Dienstag Zeitspanne 1;DWH Program Tuesday Time Period 1;/program/dwh/tue/p1;;;00:00-24:00;;;;;
1721;180;6A0;;TimeRange;Warmwasserprogramm Dienstag Zeitspanne 2;DWH Program Tuesday Time Period 2;/program/dwh/tue/p2;;;---;;;;;
1722;180;6A0;;TimeRange;Warmwasserprogramm Dienstag Zeitspanne 3;DWH Program Tuesday Time Period 3;/program/dwh/tue/p3;;;---;;;;;
1730;180;6A0;;TimeRange;Warmwasserprogramm Mittwoch Zeitspanne 1;DWH Program Wednesday Time Period 1;/program/dwh/wed/p1;;;00:00-24:00;;;;;
1731;180;6A0;;TimeRange;Warmwasserprogramm Mittwoch Zeitspanne 2;DWH Program Wednesday Time Period 2;/program/dwh/wed/p2;;;---;;;;;
1732;180;6A0;;TimeRange;Warmwasserprogramm Mittwoch Zeitspanne 3;DWH Program Wednesday Time Period 3;/program/dwh/wed/p3;;;---;;;;;
1740;180;6A0;;TimeRange;Warmwasserprogramm Donnerstag Zeitspanne 1;DWH Program Thursday Time Period 1;/program/dwh/thu/p1;;;00:00-24:00;;;;;
1741;180;6A0;;TimeRange;Warmwasserprogramm Donnerstag Zeitspanne 2;DWH Program Thursday Time Period 2;/program/dwh/thu/p2;;;---;;;;;
1742;180;6A0;;TimeRange;Warmwasserprogramm Donnerstag Zeitspanne 3;DWH Program Thursday Time Period 3;/program/dwh/thu/p3;;;---;;;;;
1750;180;6A0;;TimeRange;Warmwasserprogramm Freitag Zeitspanne 1;DWH Program Friday Time Period 1;/program/dwh/fri/p1;;;00:00-24:00;;;;;
1751;180;6A0;;TimeRange;Warmwasserprogramm Freitag Zeitspanne 2;DWH Program Friday Time Period 2;/program/dwh/fri/p2;;;---;;;;;
1752;180;6A0;;TimeRange;Warmwasserprogramm Freitag Zeitspanne 3;DWH Program Friday Time Period 3;/program/dwh/fri/p3;;;---;;;;;
1760;180;6A0;;TimeRange;Warmwasserprogramm Samstag Zeitspanne 1;DWH Program Saturday Time Period 1;/program/dwh/sat/p1;;;00:00-24:00;;;;;
1761;180;6A0;;TimeRange;Warmwasserprogramm Samstag Zeitspanne 2;DWH Program Saturday Time Period 2;/program/dwh/sat/p2;;;---;;;;;
1762;180;6A0;;TimeRange;Warmwasserprogramm Samstag Zeitspanne 3;DWH Program Saturday Time Period 3;/program/dwh/sat/p3;;;---;;;;;
1770;180;6A0;;TimeRange;Warmwasserprogramm Sonntag Zeitspanne 1;DWH Program Sunday Time Period 1;/program/dwh/sun/p1;;;00:00-24:00;;;;;
1771;180;6A0;;TimeRange;Warmwasserprogramm Sonntag Zeitspanne 2;DWH Program Sunday Time Period 2;/program/dwh/sun/p2;;;---;;;;;
1772;180;6A0;;TimeRange;Warmwasserprogramm Sonntag Zeitspanne 3;DWH Program Sunday Time Period 3;/program/dwh/sun/p3;;;---;;;;;
1780;180;6A0;;TimeRange;Warmwasserprogramm Mo-Fr Zeitspanne 1;DWH Program MON-FRI Time Period 1;/program/dwh/weekdays/p1;;;00:00-24:00;;;;;
