elster-kromschroeder can-bus address scanner and test utility
copyright (c) 2014 Jürg Müller, CH-5524

  { 0x180, 0x06c9, 0x0000},  // TEST_OBJEKT_136: 0
  { 0x180, 0x079f, 0x0064},  // STUETZSTELLE_ND1: 100
  { 0x180, 0x07a0, 0x06a4},  // STUETZSTELLE_ND2: 1700
  { 0x180, 0x07a1, 0x0064},  // STUETZSTELLE_HD1: 100
  { 0x180, 0x07a2, 0x10cc},  // STUETZSTELLE_HD2: 4300
  { 0x180, 0x07a6, 0x062f},  // ANZEIGE_HOCHDRUCK: 158.3
  { 0x180, 0x07a7, 0x0522},  // ANZEIGE_NIEDERDRUCK: 131.4
  { 0x180, 0x07a8, 0x0013},  // VERDICHTER: 1.9
  { 0x180, 0x07a9, 0x00f3},  // VERDAMPFERISTTEMP_KOMPENSIERT: 243
  { 0x180, 0x07aa, 0x0078},  // TAU_PENDEL_ERKENNUNGSZEIT: 120
  { 0x180, 0x07ab, 0x0078},  // VERZOEGERUNG_PENDELERKENNUNG: 120
  { 0x180, 0x07ac, 0x0050},  // UEBERHITZUNG_VERDAMPFER_LOW: 80
  { 0x180, 0x07ad, 0x0050},  // UEBERHITZUNG_VERDAMPFER_MID: 80
  { 0x180, 0x07ae, 0x0050},  // UEBERHITZUNG_VERDAMPFER_HIGH: 80
  { 0x180, 0x07af, 0x006e},  // UEBERHITZUNG_REKUPERATOR: 110
  { 0x180, 0x07b0, 0x006e},  // UEBERHITZUNG_BEI_KUEHLBETRIEB: 110
  { 0x180, 0x07b1, 0x03e8},  // ANFAHRFAKTOR_UEBERHITZUNG: 1000
  { 0x180, 0x07b2, 0x0078},  // ANFAHRZEIT_UEBERHITZUNG: 120
  { 0x180, 0x07b3, 0x001e},  // GRENZE_PENDELN_VERDAMPFER: 30
  { 0x180, 0x07b4, 0x0028},  // GRENZE_PENDELN_REKUPERATOR: 40
  { 0x180, 0x07b5, 0x000a},  // TAU_UEBERHITZUNG_VERKLEINERN: 10
  { 0x180, 0x07b6, 0x000a},  // TAU_UEBERHITZUNG_VERGROESSERN: 10
  { 0x180, 0x07b7, 0x0019},  // VARIATION_UEBERHITZUNG: 25
  { 0x180, 0x07b8, 0x0073},  // V_H_EXPONENT_VSKL: 115
  { 0x180, 0x07b9, 0x008c},  // V_H_FAKTOR_VSKL: 140
  { 0x180, 0x07ba, 0x0008},  // V_H_OFFSET_VSKL: 8
  { 0x180, 0x07bb, 0x0073},  // V_K_EXPONENT_VSKL: 115
  { 0x180, 0x07bc, 0x0118},  // V_K_FAKTOR_VSKL: 280
  { 0x180, 0x07bd, 0x0008},  // V_K_OFFSET_VSKL: 8
  { 0x180, 0x07be, 0x0064},  // WICHTUNG_REGELABWEICHUNG: 100
  { 0x180, 0x07bf, 0x000a},  // P_VERDAMPFER: 10
  { 0x180, 0x07c0, 0x0014},  // I_VERDAMPFER: 20
  { 0x180, 0x07c1, 0x0000},  // D_VERDAMPFER: 0
  { 0x180, 0x07c2, 0x0064},  // P_REKUPERATOR: 100
